,local_date,wifi_daily_countscans,wifi_daily_uniquedevices,wifi_daily_countscansmostuniquedevice,screen_daily_countepisodeunlock,screen_daily_episodepersensedminutesunlock,screen_daily_sumdurationunlock,screen_daily_maxdurationunlock,screen_daily_mindurationunlock,screen_daily_avgdurationunlock,screen_daily_stddurationunlock,screen_daily_firstuseafter00unlock,conversation_daily_minutessilence,conversation_daily_minutesnoise,conversation_daily_minutesvoice,conversation_daily_minutesunknown,conversation_daily_countconversation,conversation_daily_silencesensedfraction,conversation_daily_noisesensedfraction,conversation_daily_voicesensedfraction,conversation_daily_unknownsensedfraction,conversation_daily_silenceexpectedfraction,conversation_daily_noiseexpectedfraction,conversation_daily_voiceexpectedfraction,conversation_daily_unknownexpectedfraction,conversation_daily_sumconversationduration,conversation_daily_avgconversationduration,conversation_daily_sdconversationduration,conversation_daily_minconversationduration,conversation_daily_maxconversationduration,conversation_daily_timefirstconversation,conversation_daily_timelastconversation,conversation_daily_noisesumenergy,conversation_daily_noiseavgenergy,conversation_daily_noisesdenergy,conversation_daily_noiseminenergy,conversation_daily_noisemaxenergy,conversation_daily_voicesumenergy,conversation_daily_voiceavgenergy,conversation_daily_voicesdenergy,conversation_daily_voiceminenergy,conversation_daily_voicemaxenergy,call_outgoing_daily_count,call_outgoing_daily_distinctcontacts,call_outgoing_daily_meanduration,call_outgoing_daily_sumduration,call_outgoing_daily_minduration,call_outgoing_daily_maxduration,call_outgoing_daily_stdduration,call_outgoing_daily_modeduration,call_outgoing_daily_entropyduration,call_outgoing_daily_timefirstcall,call_outgoing_daily_timelastcall,call_outgoing_daily_countmostfrequentcontact,call_missed_daily_count,call_missed_daily_distinctcontacts,call_missed_daily_timefirstcall,call_missed_daily_timelastcall,call_missed_daily_countmostfrequentcontact,location_daily_locationvariance,location_daily_loglocationvariance,location_daily_totaldistance,location_daily_averagespeed,location_daily_varspeed,location_daily_circadianmovement,location_daily_numberofsignificantplaces,location_daily_numberlocationtransitions,location_daily_radiusgyration,location_daily_timeattop1location,location_daily_timeattop2location,location_daily_timeattop3location,location_daily_movingtostaticratio,location_daily_outlierstimepercent,location_daily_maxlengthstayatclusters,location_daily_minlengthstayatclusters,location_daily_stdlengthstayatclusters,location_daily_meanlengthstayatclusters,location_daily_locationentropy,location_daily_normalizedlocationentropy,call_incoming_daily_count,call_incoming_daily_distinctcontacts,call_incoming_daily_meanduration,call_incoming_daily_sumduration,call_incoming_daily_minduration,call_incoming_daily_maxduration,call_incoming_daily_stdduration,call_incoming_daily_modeduration,call_incoming_daily_entropyduration,call_incoming_daily_timefirstcall,call_incoming_daily_timelastcall,call_incoming_daily_countmostfrequentcontact,ar_daily_count,ar_daily_mostcommonactivity,ar_daily_countuniqueactivities,ar_daily_activitychangecount,ar_daily_sumstationary,ar_daily_summobile,ar_daily_sumvehicle,bluetooth_daily_countscans,bluetooth_daily_uniquedevices,bluetooth_daily_countscansmostuniquedevice
0,2020-10-28,27399,888,1760,89,0.1126582278,216.04795,73.16951667,0.03406666667,2.427505056,8.336691314,652.4666667,,148.8,,,,,1,,,,0.4133333333,,,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,753,753,1,3.24E-05,-4.489996661,18.48634642,7.243276796,,-2.329310635,0,0,0,,,,0.8181818182,1,27,27,0,27,,,1,1,3976,3976,3976,3976,,3976,0,1359,1359,1,451,3,5,128,519.1239333,30.86675,,2311,418,311
1,2020-10-29,43856,1601,2929,166,0.1152777778,253.7853667,24.53545,0.02128333333,1.52882751,3.028265139,8.183333333,,306.7666667,,,,,1,,,,0.8521296296,,,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0.0007585272064,-3.120028838,15666.59603,37.89156498,4305.162587,-0.2752238199,0,0,0,,,,0.2571428571,1,27,27,0,27,,,1,1,68,68,68,68,,68,0,750,750,0,1120,3,6,469,932.6374667,14.96938333,16.71348333,8376,1251,387
2,2020-10-30,13338,373,886,37,0.05736434109,58.32986667,21.5532,0.06883333333,1.576482883,3.644489788,365.4,,272.05,,,,,1,,,,0.7556944444,,,0,,,,0,0,0,0,0,0,0,0,,,,,,2,2,19.5,39,0,39,27.57716447,0,0,484,484,1,,,,,,0.0248444431,-1.604770734,86893.93725,70.62197201,4866.930812,1.386242037,0,0,0,,,,0.03846153846,1,3,3,0,3,,,,,,,,,,,,,,,1160,3,6,480,521.0029167,69.72895,39.82141667,6225,678,20
3,2020-10-31,,,,,,,,,,,,,286.4166667,,,,,1,,,,0.7956018519,,,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,3,5,210,907.4649,98.07886667,,,,
4,2020-11-01,,,,,,,,,,,,,185,,,,,1,,,,0.5138888889,,,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,3,4,50,753.08165,,,,,
5,2020-11-01,591,3,519,69,0.1179487179,75.7777,11.32045,0.02708333333,1.098227536,1.696602701,879.8333333,,5.933333333,0.01666666667,,,,0.9971988796,0.002801120448,,,0.01648148148,4.63E-05,,0,,,,0,0,0,681123,1913.266854,1191.785303,101,4038,38339,38339,,38339,38339,,,,,,,,,,,,,,,,,,7.57E-06,-5.120635045,4390.174103,7.610183696,21.73656443,-2.237295721,2,3,59.42533377,471,78,,0.9024390244,0.01081081081,294,6,108.2575055,138.75,0.4087151068,0.2043575534,,,,,,,,,,,,,1008,3,2,164,1268.140783,116.0407667,,,,
6,2020-11-02,1440,4,1139,105,0.07291666667,154.4663333,21.22516667,0.02183333333,1.471107937,2.604934591,477.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,161.5,323,31,292,184.5548699,292,0.3176965536,701,735,1,1,1,938,938,1,2.85E-05,-4.54547972,9174.229677,11.41970812,88.80176057,-1.1378927,3,6,1030.081645,789,528,39,0.9520833333,0.01094091904,543,3,228.6122285,195.8571429,0.7844210399,0.26147368,,,,,,,,,,,,,1179,3,3,123,1232.346667,105.5139667,16.9739,,,
7,2020-11-03,1440,3,1062,148,0.1027777778,205.4681333,27.86285,0.01171666667,1.388298198,2.952988881,479.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,302,302,302,302,,302,0,751,751,0,1,1,795,795,0,5.50E-06,-5.259317211,10036.19735,8.36349779,41.1909248,-2.309441902,5,7,97.29347361,879,276,141,0.9333333333,0.004464285714,822,3,262.229861,168,0.9688432795,0.1937686559,,,,,,,,,,,,,1283,3,3,200,1153.869067,123.54775,7.458216667,,,
8,2020-11-04,1421,3,1352,128,0.0898245614,302.1070833,24.57925,0.01945,2.360211589,3.334041912,6.45,,1,,,,,1,,,,0.002777777778,,,0,,,,0,0,0,24496,408.2666667,230.9940102,345,1829,,,,,,,,,,,,,,,,,,,,,,,4.89E-09,-8.311106634,35.56116225,1.218059383,,-4.81087333,2,1,16.20151905,1398,24,,1,0,1398,24,687,711,0.08562496339,0.0428124817,,,,,,,,,,,,,1199,3,2,212,1135.83175,81.06406667,,,,
9,2020-11-05,1440,6,1300,95,0.06597222222,371.819,57.9665,0.02015,3.913884211,8.391489507,498.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,587.1666667,3523,0,2935,1174.000071,0,0.4510836298,533,1169,0,,,,,,3.10E-06,-5.508398432,5520.959008,6.90119876,9.686647395,-2.896891305,3,4,83.74577853,873,486,15,0.95625,0.002178649237,552,3,230.1952215,275.4,0.7050899994,0.2350299998,3,3,1490,4470,98,3407,1715.834782,965,0.6219081702,719,1249,1,1278,3,2,196,1141.350083,138.6980833,,,,
